"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.2478","0.2478","0.2478","0.2328","0.4961","0.6219","0.6566","0.641","0.6664","0.8548","0.9926","0.8305","0.9817","1.1021","1.0751","1.3486","1.3218","1.4181","1.5037","1.6427","1.6679","1.8465","2.1243","2.1802","2.2268","2.6853","2.9557","3.3399","3.4176","3.1199","3.0457","3.8193","3.8811","3.9626","4.578","5.0967","5.3132","5.4236","6.069","6.3944","7.3939","8.6172","8.7005","8.2603","8.9215","9.358","9.928","11.0668","11.6208","12.2388","11.4814","12.6731","13.4613","11.8827","13.173","",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","4.3683","4.3683","4.3399","4.2583","4.0046","3.9712","3.9719","3.9803","4.0249","3.964","4.1164","3.964","3.964","3.964","3.8328","3.6987","3.6895","3.7139","6.8529","7.2597","6.4412","3.4765","3.8084","4.3113","3.9355","4.1905","4.1435","4.2794","5.4217","5.6515","5.4312","5.6036","5.8296","6.4195","6.9498","7.7639","8.1901","7.925","8.3051","7.9775","7.7599","7.9352","8.212","7.2682","8.1347","8.9279","9.0449","9.1891","9.397","9.508","8.9357","9.6145","9.6286","9.8525","10.1709","",
"Bahrain","BHR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.1801","0.1801","0.218","0.2304","0.2717","0.3638","0.475","0.5858","0.668","0.6155","0.6273","0.7061","0.7721","0.8539","0.8528","0.874","0.8381","0.8342","0.8811","0.9279","0.9908","1.0061","1.1165","1.1566","1.1781","1.2289","1.2567","1.3162","1.3882","1.4412","1.5254","1.5877","1.7808","1.9354","2.1188","2.4819","2.5948","2.8232","3.0894","3.0422","3.1245","2.9441","3.1615","3.2764","3.3746","3.5224","3.5994","3.7103","3.8249","3.7402","3.2941","3.5027","3.7954","3.8452","3.8665","",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0739","0.0739","0.0596","0.0658","0.0768","0.101","0.1083","0.1115","0.1164","0.1013","0.145","0.1559","0.1409","0.1134","0.1112","0.0989","0.107","0.1279","0.127","0.1583","0.3308","0.3077","0.2691","0.2835","0.3176","0.3696","0.4167","0.4377","0.5127","0.4691","0.3688","0.3579","0.3754","0.2723","0.2911","0.2925","0.376","0.45","0.4791","0.4037","0.4767","0.3065","0.3574","0.3868","0.4124","0.4095","0.4484","0.497","0.4327","0.5358","0.398","0.4932","0.4796","0.4857","0.4997","",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.819","1.819","1.7514","1.8247","2.0752","2.0245","2.0677","2.2296","2.3765","2.4492","2.2389","2.1859","2.0226","2.0949","1.948","2.2625","2.7981","2.4717","2.7104","2.5005","2.1911","1.8618","1.0625","0.8483","0.9662","0.9943","1.0254","1.0566","1.3985","1.3412","2.0899","2.129","2.0422","2.0556","2.3916","2.3044","2.8848","3.048","3.3804","3.491","3.4032","3.4068","3.1897","2.8176","2.9806","3.1064","3.62","3.7762","3.752","4.0147","3.6363","4.1802","4.0146","4.1074","4.1743","",
"Belarus","BLR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","8.7915","8.7915","9.1393","9.4388","9.8102","10.368","10.5445","10.5188","10.5285","10.5657","10.7663","10.8239","10.853","10.6962","10.6861","10.7179","11.1461","11.3763","11.4363","11.6847","11.4763","12.2504","11.3167","9.4631","6.7276","6.677","7.2472","7.6084","8.0436","7.0901","6.4536","6.12","6.6061","6.8204","6.9842","7.7742","9.1332","9.2925","10.5498","9.6488","10.2359","10.8728","11.6709","12.1818","11.591","10.3846","10.7984","11.2574","11.84","11.802","10.614","10.3895","10.0135","9.8876","9.9478","",
"Belize","BLZ","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0042","0.0042","0.0034","0.0038","0.0044","0.0058","0.0062","0.0064","0.0067","0.0058","0.0083","0.0081","0.0079","0.0084","0.0098","0.0099","0.0133","0.0116","0.0089","0.0142","0.038","0.0449","0.038","0.0379","0.0371","0.0423","0.0353","0.064","0.0663","0.0706","0.0508","0.0504","0.0482","0.0496","0.045","0.0506","0.0591","0.0569","0.0563","0.0693","0.0852","0.0529","0.0563","0.0718","0.0731","0.0898","0.0932","0.1022","0.1009","0.1465","0.107","0.1122","0.1184","0.1263","0.13","",
"Bermuda","BMU","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.01","0.01","0.0081","0.0089","0.0104","0.0137","0.0147","0.0151","0.0158","0.0137","0.0197","0.0177","0.0197","0.0221","0.0236","0.0231","0.0234","0.036","0.0411","0.0544","0.077","0.0715","0.0573","0.0656","0.0656","0.0664","0.0683","0.0731","0.0763","0.0787","0.0556","0.0536","0.0572","0.0576","0.0577","0.0634","0.0796","0.0951","0.0982","0.0874","0.115","0.0549","0.0623","0.0701","0.0987","0.0842","0.1122","0.1032","0.1076","0.1117","0.0727","0.0833","0.0879","0.089","0.0916","",
"Bolivia","BOL","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.0026","1.0026","1.0782","1.1635","1.2769","1.5362","1.6952","1.9487","2.1898","2.2045","2.1481","2.0569","1.6889","1.7907","1.747","1.7656","1.7703","2.0129","2.0355","2.1692","2.257","2.3725","2.3416","2.7042","2.8113","3.1262","3.2421","3.074","3.1728","3.1763","2.6404","2.6471","2.7248","2.9238","3.2264","3.4527","3.9922","4.5138","5.087","5.5386","6.0736","6.7341","7.3173","8.1181","8.8102","9.1686","9.6586","10.3083","10.7137","10.8391","8.7469","11.1754","12.3239","12.6995","13.7886","",
"Brazil","BRA","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","42.3801","42.3801","47.7507","56.2884","62.0749","66.1103","71.3535","69.461","74.3121","77.6723","73.3282","73.1213","73.2459","68.6883","67.6061","70.0857","77.5242","76.2123","76.3187","79.6341","82.1754","85.9714","86.6138","90.077","94.2098","104.1934","113.668","120.6104","126.8996","124.2512","125.4845","128.0415","130.0124","127.5148","136.4505","137.1925","140.2593","145.9657","151.3403","148.7176","167.9911","185.1526","202.541","209.7842","214.7806","200.7873","199.046","200.1754","191.866","193.1656","182.6073","200.1659","212.577","218.1717","219.2891","",
