Data Year,State,Brand Name,Generic Name,Total Prescribers,Total Claims,Total 30-Day Fills,Total Drug Cost ($),Total Beneficiaries,Age 65+ Suppression Flag,Age 65+ Claims,Age 65+ 30-Day Fills,Age 65+ Drug Cost ($),Age 65+ Beneficiary Suppression Flag,Age 65+ Beneficiaries,Low-Income Beneficiary Cost ($),Non-Low-Income Beneficiary Cost ($),Is Opioid,Is Long-Acting Opioid,Is Antibiotic,Is Antipsychotic
2023,Vermont,Quetiapine Fumarate,Quetiapine Fumarate,847,19354,25590.3,569092.37,2773,,11648,15418.3,303650.39,,1756,9909.54,58725,N,N,N,Y
2023,Vermont,Quetiapine Fumarate Er,Quetiapine Fumarate,141,1107,1428.9,112515.66,156,,349,459.7,42367.66,,54,1024.35,2699.42,N,N,N,Y
2023,Vermont,Quinapril Hcl,Quinapril Hcl,46,69,151.2,2003.23,46,#,,,,#,,8.22,338,N,N,N,N
2023,Vermont,Qulipta,Atogepant,19,131,252,287736.22,46,,66,118,130198.53,,21,1033.82,12157.12,N,N,N,N
2023,Vermont,Quviviq,Daridorexant Hcl,18,58,62,32651.2,19,,36,38,17392.88,#,,877.02,2981.46,N,N,N,N
2023,Vermont,Qvar Redihaler,Beclomethasone Dipropionate,88,285,530.1,102731.42,101,,272,512,98760.08,#,,209.55,19738.43,N,N,N,N
2023,Vermont,Rabavert,Rabies Vaccine (Pcec)/Pf,7,12,12,4889.3,,*,,,,*,,0,0,N,N,N,N
2023,Vermont,Rabeprazole Sodium,Rabeprazole Sodium,144,702,1686.7,45551.07,182,,642,1571.8,42515.04,,166,193.55,17545.76,N,N,N,N
2023,Vermont,Radicava Ors,Edaravone,2,103,103,1427804.16,11,#,,,,*,,0,79836.98,N,N,N,N
2023,Vermont,Raloxifene Hcl,Raloxifene Hcl,125,739,1830.1,65313.03,207,,726,1809.1,64698.08,#,,129.41,26375.13,N,N,N,N
2023,Vermont,Ramelteon,Ramelteon,181,801,988.9,117215.72,221,,592,741.9,81758.88,,172,939.28,10819.85,N,N,N,N
2023,Vermont,Ramipril,Ramipril,350,2572,7010.4,46871.72,689,,2468,6756.5,44703.12,,660,405.77,12780.11,N,N,N,N
2023,Vermont,Ranolazine Er,Ranolazine,170,1077,1927.8,168815.22,250,,901,1652.8,137510.78,,211,849.76,24540.19,N,N,N,N
2023,Vermont,Rasagiline Mesylate,Rasagiline Mesylate,26,247,500,90859.4,59,#,,,,#,,30.32,14985.14,N,N,N,N
2023,Vermont,Rasuvo,Methotrexate/Pf,10,181,224.2,131595.48,26,,126,140.4,81914.84,#,,288.43,13303.03,N,N,N,N
2023,Vermont,Rectiv,Nitroglycerin,20,26,26,17570.61,19,#,,,,#,,74.25,1298.48,N,N,N,N
2023,Vermont,Reglan,Metoclopramide Hcl,1,12,12,4448.61,,,12,12,4448.61,*,,0,2129.34,N,N,N,N
2023,Vermont,Relistor,Methylnaltrexone Bromide,8,29,35,74803.07,,#,,,,*,,24.7,22,N,N,N,N
2023,Vermont,Relpax,Eletriptan Hydrobromide,3,11,15,9281.94,,*,,,,*,,637.96,0,N,N,N,N
2023,Vermont,Relyvrio,Sod Phenylbutyrat/Taurursodiol,1,57,57,713697.96,,#,,,,*,,0,28481.66,N,N,N,N
2023,Vermont,Renacidin,Citric Ac/Gluconolact/Mag Carb,23,181,204.4,40782.81,33,,102,112.4,22712.04,,18,0,510,N,N,N,N
2023,Vermont,Renvela,Sevelamer Carbonate,6,56,58,40836.81,,,30,32,21806.65,*,,34.14,0,N,N,N,N
2023,Vermont,Repaglinide,Repaglinide,43,212,399.2,12201.58,43,,197,380.2,11878.61,#,,46.63,1196.55,N,N,N,N
2023,Vermont,Repatha Pushtronex,Evolocumab,8,97,108.4,68560.07,15,#,,,,#,,10.35,11575.55,N,N,N,N
2023,Vermont,Repatha Sureclick,Evolocumab,85,792,1363,808634.85,167,,729,1254.2,741259.62,,153,860.57,100032.67,N,N,N,N
2023,Vermont,Repatha Syringe,Evolocumab,31,148,235.4,129405.66,33,#,,,,#,,68.95,12726.7,N,N,N,N
2023,Vermont,Restasis,Cyclosporine,223,2040,3638.3,2386711.69,744,,1764,3149.8,2068633.77,,665,2302.33,158984.74,N,N,N,N
2023,Vermont,Restasis Multidose,Cyclosporine,50,155,210.8,142456.4,51,,110,162.8,110757.16,#,,208.05,7793.06,N,N,N,N
2023,Vermont,Retacrit,Epoetin Alfa-Epbx,5,16,17.8,10389.73,,*,,,,*,,49.8,441.31,N,N,N,N
2023,Vermont,Retevmo,Selpercatinib,2,14,14,353292.86,,#,,,,*,,4.3,17811.92,N,N,N,N
2023,Vermont,Retin-A,Tretinoin,7,13,14.8,542.25,,*,,,,*,,12.8,89.59,N,N,N,N
2023,Vermont,Revlimid,Lenalidomide,22,373,373,6811072.28,76,,335,335,6105995,#,,4276.92,241295.37,N,N,N,N
2023,Vermont,Rexulti,Brexpiprazole,47,258,289,410511.04,59,,99,110,148818.14,,18,2418.19,5414.19,N,N,N,Y
2023,Vermont,Reyvow,Lasmiditan Succinate,9,51,56.4,35271.29,13,,27,32.4,20546.27,*,,28.92,2894.79,N,N,N,N
2023,Vermont,Rhopressa,Netarsudil Mesylate,43,599,884.3,302495.24,163,,558,827.6,277226.52,#,,448.2,40341.81,N,N,N,N
2023,Vermont,Rifabutin,Rifabutin,6,26,37,17570.81,,*,,,,*,,907.06,1763.09,N,N,N,N
2023,Vermont,Rifampin,Rifampin,47,201,259.3,13422.14,73,,177,229.2,10519.23,,60,194.75,4453.6,N,N,N,N
2023,Vermont,Riluzole,Riluzole,11,127,228.2,25430.84,32,,115,211.2,23520.15,#,,473.46,2528.93,N,N,N,N
2023,Vermont,Rinvoq,Upadacitinib,16,127,129,815863.95,21,,63,65,391476.13,*,,66.4,20110.14,N,N,N,N
2023,Vermont,Risedronate Sodium,Risedronate Sodium,64,344,852.2,44121.02,102,,344,852.2,44121.02,,102,197.65,16371.77,N,N,N,N
2023,Vermont,Risedronate Sodium Dr,Risedronate Sodium,9,20,47,7206.46,,#,,,,*,,7.05,2366.09,N,N,N,N
2023,Vermont,Risperdal,Risperidone,4,31,39,16442.25,,,0,0,0,#,,12.9,0,N,N,N,N
2023,Vermont,Risperdal Consta,Risperidone Microspheres,38,480,481.7,765502.41,39,,98,99.7,156451.22,,12,1809.37,2775.3,N,N,N,Y
2023,Vermont,Risperidone,Risperidone,560,10383,12908.7,181543.57,1289,,5067,6233.2,78991.01,,654,4678.99,12105.67,N,N,N,Y
2023,Vermont,Risperidone Odt,Risperidone,34,212,228.8,35427.42,33,,70,78,8162.35,,16,123.33,1082.98,N,N,N,Y
2023,Vermont,Ritalin,Methylphenidate Hcl,20,84,85,8045.65,16,,33,34,2489.14,*,,86.51,665.42,N,N,N,N
2023,Vermont,Ritalin La,Methylphenidate Hcl,6,20,21.8,10623.36,,*,,,,*,,8.02,6,N,N,N,N
2023,Vermont,Ritonavir,Ritonavir,13,153,175,33251.42,20,,113,127,26431.82,#,,70.5,456.48,N,N,N,N
2023,Vermont,Rivastigmine,Rivastigmine,54,410,586,111894.94,90,,410,586,111894.94,,90,379.86,17823.57,N,N,N,N
2023,Vermont,Rivastigmine,Rivastigmine Tartrate,47,292,432.1,25072.91,50,,266,406.1,24291.63,#,,395.22,6761,N,N,N,N
2023,Vermont,Rizatriptan,Rizatriptan Benzoate,296,1652,1836.9,48351.01,493,,1008,1151,28919.23,,300,905,15629.2,N,N,N,N
2023,Vermont,Rocklatan,Netarsudil Mesylat/Latanoprost,28,243,351.9,118431.85,71,,224,327.5,110401.45,#,,255.85,14054.98,N,N,N,N
2023,Vermont,Roflumilast,Roflumilast,80,559,922.9,172666.26,133,,453,775.9,145611.42,,109,440.97,8339.19,N,N,N,N
2023,Vermont,Ropinirole Er,Ropinirole Hcl,24,98,199.8,17972.21,25,#,,,,#,,17.2,2282.65,N,N,N,N
2023,Vermont,Ropinirole Hcl,Ropinirole Hcl,541,5811,11229.2,160304.37,1222,,4534,9101.6,129573.62,,979,3164.83,32899.69,N,N,N,N
2023,Vermont,Rosuvastatin Calcium,Rosuvastatin Calcium,945,36422,93351.8,1352346.24,10153,,32657,85348,1229340.69,,9243,10857.31,258589.95,N,N,N,N
2023,Vermont,Roxicodone,Oxycodone Hcl,1,12,12,26353.02,,,0,0,0,#,,12.9,0,Y,N,N,N
2023,Vermont,Rozerem,Ramelteon,11,33,43,15539.8,,,16,18,6081.09,*,,17.05,432.79,N,N,N,N
2023,Vermont,Rufinamide,Rufinamide,2,17,17,23420.22,,,0,0,0,#,,0,0,N,N,N,N
2023,Vermont,Rukobia,Fostemsavir Tromethamine,2,13,27,215075.33,,,13,27,215075.33,*,,0,6427.23,N,N,N,N
